Codegeo	GemeindeDescr	PerNum	Per
99968094	Folgensbourg	4	Agglomerationsgemeinden Frankreich
99968096	Franken	4	Agglomerationsgemeinden Frankreich
99968103	Geispitzen	4	Agglomerationsgemeinden Frankreich
99968120	Hagenthal-le-Bas	4	Agglomerationsgemeinden Frankreich
99968121	Hagenthal-le-Haut	4	Agglomerationsgemeinden Frankreich
99968124	Hausgauen	4	Agglomerationsgemeinden Frankreich
99968126	Hégenheim	4	Agglomerationsgemeinden Frankreich
99968131	Heiwiller	4	Agglomerationsgemeinden Frankreich
99968132	Helfrantzkirch	4	Agglomerationsgemeinden Frankreich
99968135	Hésingue	4	Agglomerationsgemeinden Frankreich
99968148	Hundsbach	4	Agglomerationsgemeinden Frankreich
99968149	Huningue	4	Agglomerationsgemeinden Frankreich
99968158	Jettingen	4	Agglomerationsgemeinden Frankreich
99968160	Kappelen	4	Agglomerationsgemeinden Frankreich
99968163	Kembs	4	Agglomerationsgemeinden Frankreich
99968168	Knœringue	4	Agglomerationsgemeinden Frankreich
99968169	Kœstlach	4	Agglomerationsgemeinden Frankreich
99968170	Kœtzingue	4	Agglomerationsgemeinden Frankreich
99968182	Leymen	4	Agglomerationsgemeinden Frankreich
99968183	Liebenswiller	4	Agglomerationsgemeinden Frankreich
99968186	Ligsdorf	4	Agglomerationsgemeinden Frankreich
99968187	Linsdorf	4	Agglomerationsgemeinden Frankreich
99968194	Lutter	4	Agglomerationsgemeinden Frankreich
99968197	Magstatt-le-Bas	4	Agglomerationsgemeinden Frankreich
99968198	Magstatt-le-Haut	4	Agglomerationsgemeinden Frankreich
99968207	Michelbach-le-Bas	4	Agglomerationsgemeinden Frankreich
99968208	Michelbach-le-Haut	4	Agglomerationsgemeinden Frankreich
99968221	Muespach	4	Agglomerationsgemeinden Frankreich
99968222	Muespach-le-Haut	4	Agglomerationsgemeinden Frankreich
99968232	Neuwiller	4	Agglomerationsgemeinden Frankreich
99968238	Niffer	4	Agglomerationsgemeinden Frankreich
99968240	Illtal	4	Agglomerationsgemeinden Frankreich
99968248	Oltingue	4	Agglomerationsgemeinden Frankreich
99968254	Petit-Landau	4	Agglomerationsgemeinden Frankreich
99968259	Raedersdorf	4	Agglomerationsgemeinden Frankreich
99968263	Ranspach-le-Bas	4	Agglomerationsgemeinden Frankreich
99968264	Ranspach-le-Haut	4	Agglomerationsgemeinden Frankreich
99968265	Rantzwiller	4	Agglomerationsgemeinden Frankreich
99968273	Riespach	4	Agglomerationsgemeinden Frankreich
99968284	Roppentzwiller	4	Agglomerationsgemeinden Frankreich
99968286	Rosenau	4	Agglomerationsgemeinden Frankreich
99968297	Saint-Louis	4	Agglomerationsgemeinden Frankreich
99968309	Sierentz	4	Agglomerationsgemeinden Frankreich
99968312	Sondersdorf	4	Agglomerationsgemeinden Frankreich
99968325	Steinsoultz	4	Agglomerationsgemeinden Frankreich
99968327	Stetten	4	Agglomerationsgemeinden Frankreich
99968333	Tagsdorf	4	Agglomerationsgemeinden Frankreich
99968341	Uffheim	4	Agglomerationsgemeinden Frankreich
99968347	Vieux-Ferrette	4	Agglomerationsgemeinden Frankreich
99968349	Village-Neuf	4	Agglomerationsgemeinden Frankreich
99968353	Wahlbach	4	Agglomerationsgemeinden Frankreich
99968355	Waldighofen	4	Agglomerationsgemeinden Frankreich
99968357	Waltenheim	4	Agglomerationsgemeinden Frankreich
99968362	Wentzwiller	4	Agglomerationsgemeinden Frankreich
99968363	Werentzhouse	4	Agglomerationsgemeinden Frankreich
99968380	Wolschwiller	4	Agglomerationsgemeinden Frankreich
99968382	Zaessingue	4	Agglomerationsgemeinden Frankreich
