Jahr	Altersquote	20-64 Jährige	0 -19 jährige
2006	14.225095978985	9898	1408
2006	12.002386838291	11731	1408
2006	25.031111111111	5625	1408
2006	30.002130833155	4693	1408
2006	91.966035271064	1531	1408
2006	40.378548895899	3487	1408
2006	195.284327323162	721	1408
2006	12.706434437325	11081	1408
2006	30.247046186895	4655	1408
2006	86.380368098159	1630	1408
2006	12.481163017462	11281	1408
2006	56.86591276252	2476	1408
2006	30.169273623312	4667	1408
2006	93.121693121693	1512	1408
2006	45.968005223636	3063	1408
2006	21.141141141141	6660	1408
2006	27.056110684089	5204	1408
2006	11.002578729389	12797	1408
2006	42.953020134228	3278	1408
2006	21.525247267048	7684	1654
2006	39.664268585131	4170	1654
2006	16.710446554859	9898	1654
2006	14.099394766004	11731	1654
2006	29.404444444444	5625	1654
2006	35.243980396334	4693	1654
2006	108.033964728935	1531	1654
2006	47.433323774017	3487	1654
2006	229.403606102635	721	1654
2006	14.926450681346	11081	1654
2006	35.531686358754	4655	1654
2006	101.472392638036	1630	1654
2006	14.66182076057	11281	1654
2006	66.801292407108	2476	1654
2006	35.440325691022	4667	1654
2006	109.391534391534	1512	1654
2006	53.99934704538	3063	1654
2006	24.834834834834	6660	1654
2006	31.783243658724	5204	1654
2006	12.924904274439	12797	1654
2006	50.457596095179	3278	1654
2006	11.751691827173	7684	903
2006	21.654676258992	4170	903
2006	9.123055162659	9898	903
2006	7.697553490751	11731	903
2006	16.053333333333	5625	903
2006	19.241423396548	4693	903
2006	58.981058131939	1531	903
2006	25.896185833094	3487	903
2006	125.242718446601	721	903
2006	8.149084017687	11081	903
2006	19.398496240601	4655	903
2006	55.398773006134	1630	903
2006	8.004609520432	11281	903
2006	36.470113085621	2476	903
2006	19.34861795586	4667	903
2006	59.722222222222	1512	903
2006	29.480901077375	3063	903
2006	13.558558558558	6660	903
2006	17.352036894696	5204	903
2006	7.056341329999	12797	903
2006	27.547284929835	3278	903
2006	35.489328474752	7684	2727
2006	65.395683453237	4170	2727
2006	27.551020408163	9898	2727
2006	23.246100076719	11731	2727
2006	48.48	5625	2727
2006	58.107820157681	4693	2727
2006	178.118876551273	1531	2727
2006	78.204760539145	3487	2727
2006	378.224687933425	721	2727
2006	24.60969226604	11081	2727
2006	58.582169709989	4655	2727
2006	167.300613496932	1630	2727
2006	24.173388883964	11281	2727
2006	110.13731825525	2476	2727
2006	58.431540604242	4667	2727
2006	180.357142857142	1512	2727
2006	89.030362389813	3063	2727
2006	40.945945945945	6660	2727
2006	52.40199846272	5204	2727
2006	21.309681956708	12797	2727
2006	83.190970103721	3278	2727
2006	19.260801665799	7684	1480
2006	35.491606714628	4170	1480
2006	14.952515659729	9898	1480
2006	12.616145256158	11731	1480
2006	26.311111111111	5625	1480
2006	31.536330705305	4693	1480
2006	96.66884389288	1531	1480
2006	42.443361055348	3487	1480
2006	205.270457697642	721	1480
2006	13.356195289233	11081	1480
2006	31.793770139634	4655	1480
2006	90.797546012269	1630	1480
2006	13.119404308128	11281	1480
2006	59.773828756058	2476	1480
2006	31.712020569959	4667	1480
2006	97.883597883597	1512	1480
2006	48.318641854391	3063	1480
2006	22.222222222222	6660	1480
2006	28.439661798616	5204	1480
2006	11.565210596233	12797	1480
2006	45.149481391092	3278	1480
2006	6.363872982821	7684	489
2006	11.726618705035	4170	489
2006	4.940391998383	9898	489
2006	4.168442588014	11731	489
2006	8.693333333333	5625	489
2006	10.419774131685	4693	489
2006	31.939908556499	1531	489
2006	14.02351591626	3487	489
2006	67.822468793342	721	489
